"120x60x3",60,120,3,8.013,10.21,189.12,31.52,39.18,4.3,64.4,21.47,24.21,2.51,156.34
"120x60x4",60,120,4,10.478,13.35,240.74,40.12,50.49,4.25,81.25,27.08,31.08,2.47,201.12
"120x60x5",60,120,5,12.84,16.36,286.97,47.83,60.95,4.19,95.99,32,37.38,2.42,242.23
"120x60x6",60,120,6,15.098,19.23,328.01,54.67,70.57,4.13,108.77,36.26,43.12,2.38,279.67
"120x80x3",80,120,3,8.955,11.41,230.2,38.37,46.2,4.49,123.43,30.86,35.02,3.29,255.47
"120x80x4",80,120,4,11.734,14.95,294.59,49.1,59.77,4.44,157.29,39.32,45.23,3.24,331.24
"120x80x5",80,120,5,14.41,18.36,353.14,58.86,72.45,4.39,187.78,46.94,54.74,3.2,402.27
"120x80x6",80,120,6,16.982,21.63,406.06,67.68,84.25,4.33,215.03,53.76,63.55,3.15,468.54
"120x80x7",80,120,7,19.121,24.36,438.27,73.04,92.65,4.24,232.45,58.11,69.98,3.09,529.42
"120x100x3",100,120,3,9.897,12.61,271.27,45.21,53.22,4.64,205.28,41.06,47.03,4.04,367.01
"120x100x4",100,120,4,12.99,16.55,348.43,58.07,69.05,4.59,263.24,52.65,60.98,3.99,477.84
"120x100x5",100,120,5,15.98,20.36,419.31,69.88,83.95,4.54,316.27,63.25,74.09,3.94,582.86
"120x100x6",100,120,6,18.866,24.03,484.11,80.68,97.93,4.49,364.56,72.91,86.38,3.89,682.04
"120x100x7",100,120,7,21.319,27.16,527.77,87.96,108.47,4.41,397.7,79.54,95.74,3.83,776.17
"140x60x3",60,140,3,8.955,11.41,278.08,39.73,49.98,4.94,74.16,24.72,27.63,2.55,191.92
"140x60x4",60,140,4,11.734,14.95,355.59,50.8,64.63,4.88,93.81,31.27,35.56,2.51,247.13
"140x60x5",60,140,5,14.41,18.36,425.89,60.84,78.3,4.82,111.16,37.05,42.88,2.46,297.97
"140x60x6",60,140,6,16.982,21.63,489.19,69.88,91.01,4.76,126.34,42.11,49.6,2.42,344.46
"140x60x7",60,140,7,19.121,24.36,524.93,74.99,99.79,4.64,135.69,45.23,54.44,2.36,384.95
"140x80x3",80,140,3,9.897,12.61,334.4,47.77,58.2,5.15,141.23,35.31,39.64,3.35,317.07
"140x80x4",80,140,4,12.99,16.55,429.6,61.37,75.51,5.1,180.42,45.1,51.31,3.3,411.6
"140x80x5",80,140,5,15.98,20.36,517.06,73.87,91.8,5.04,215.94,53.99,62.24,3.26,500.51
"140x80x6",80,140,6,18.866,24.03,597,85.29,107.09,4.98,247.96,61.99,72.43,3.21,583.8
"140x80x7",80,140,7,21.319,27.16,648.87,92.7,118.41,4.89,269.87,67.47,80.2,3.15,661.38
"140x100x3",100,140,3,10.839,13.81,390.71,55.82,66.42,5.32,233.52,46.7,52.85,4.11,459.63
"140x100x4",100,140,4,14.246,18.15,503.61,71.94,86.39,5.27,300.12,60.02,68.66,4.07,599.26
"140x100x5",100,140,5,17.55,22.36,608.23,86.89,105.3,5.22,361.44,72.29,83.59,4.02,732.06
"140x100x6",100,140,6,20.75,26.43,704.81,100.69,123.17,5.16,417.65,83.53,97.66,3.97,857.99
"140x100x7",100,140,7,23.517,29.96,772.81,110.4,137.03,5.08,458.36,91.67,108.76,3.91,978.81
"150x50x3",50,150,3,8.955,11.41,298.55,39.81,51.43,5.12,52.65,21.06,23.49,2.15,150.22
"150x50x4",50,150,4,11.734,14.95,381.39,50.85,66.47,5.05,66.16,26.47,30.13,2.1,192.14
"150x50x5",50,150,5,14.41,18.36,456.29,60.84,80.48,4.99,77.87,31.15,36.2,2.06,230.05
"150x50x6",50,150,6,16.982,21.63,523.47,69.8,93.48,4.92,87.89,35.16,41.72,2.02,263.99
"150x50x7",50,150,7,19.121,24.36,559.3,74.57,102.31,4.79,93.75,37.5,45.62,1.96,291.81
"150x70x3",70,150,3,9.897,12.61,363.39,48.45,60.25,5.37,111.43,31.84,35.5,2.97,276.37
"150x70x4",70,150,4,12.99,16.55,466.68,62.22,78.15,5.31,141.9,40.54,45.88,2.93,357.69
