"HSS","HSS16X12X.375","HSS16X12X3/8","F","HSS406.4X304.8X9.5","HSS406.4X304.8X9.5",102,12100,"–","–",406,"–","–","–",305,"–","–","–","–","–","–","–",9.53,8.86,"–","–","–","–","–","–","–","–","–",31.4,"–",42.8,"–",292,1700,1440,155,188,1400,1230,125,"–","–","–",359000,"–",2080,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X12X.313","HSS16X12X5/16","F","HSS406.4X304.8X7.9","HSS406.4X304.8X7.9",85.4,10100,"–","–",406,"–","–","–",305,"–","–","–","–","–","–","–",7.94,7.39,"–","–","–","–","–","–","–","–","–",38.2,"–",52.0,"–",248,1440,1220,156,160,1180,1050,125,"–","–","–",303000,"–",1750,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X8X.625","HSS16X8X5/8","F","HSS406.4X203.2X15.9","HSS406.4X203.2X15.9",139,16600,"–","–",406,"–","–","–",203,"–","–","–","–","–","–","–",15.9,14.8,"–","–","–","–","–","–","–","–","–",10.8,"–",24.5,"–",339,2110,1670,143,114,1300,1120,83.1,"–","–","–",283000,"–",2160,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X8X.500","HSS16X8X1/2","F","HSS406.4X203.2X12.7","HSS406.4X203.2X12.7",113,13500,"–","–",406,"–","–","–",203,"–","–","–","–","–","–","–",12.7,11.8,"–","–","–","–","–","–","–","–","–",14.2,"–",31.4,"–",283,1740,1390,145,95.7,1070,944,84.3,"–","–","–",234000,"–",1770,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X8X.375","HSS16X8X3/8","F","HSS406.4X203.2X9.5","HSS406.4X203.2X9.5",86.4,10300,"–","–",406,"–","–","–",203,"–","–","–","–","–","–","–",9.53,8.86,"–","–","–","–","–","–","–","–","–",19.9,"–",42.8,"–",221,1350,1090,147,75.3,832,742,85.6,"–","–","–",181000,"–",1370,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X8X.313","HSS16X8X5/16","F","HSS406.4X203.2X7.9","HSS406.4X203.2X7.9",72.7,8650,"–","–",406,"–","–","–",203,"–","–","–","–","–","–","–",7.94,7.39,"–","–","–","–","–","–","–","–","–",24.5,"–",52.0,"–",188,1140,924,147,64.5,705,634,86.4,"–","–","–",154000,"–",1150,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X8X.250","HSS16X8X1/4","F","HSS406.4X203.2X6.4","HSS406.4X203.2X6.4",58.7,6970,"–","–",406,"–","–","–",203,"–","–","–","–","–","–","–",6.35,5.92,"–","–","–","–","–","–","–","–","–",31.3,"–",65.7,"–",153,924,755,148,52.9,574,519,86.9,"–","–","–",125000,"–",934,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X4X.625","HSS16X4X5/8","F","HSS406.4X101.6X15.9","HSS406.4X101.6X15.9",113,13500,"–","–",406,"–","–","–",102,"–","–","–","–","–","–","–",15.9,14.8,"–","–","–","–","–","–","–","–","–",3.88,"–",24.5,"–",224,1520,1100,129,22.5,533,442,40.6,"–","–","–",72400,"–",991,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X4X.500","HSS16X4X1/2","F","HSS406.4X101.6X12.7","HSS406.4X101.6X12.7",92.7,11100,"–","–",406,"–","–","–",102,"–","–","–","–","–","–","–",12.7,11.8,"–","–","–","–","–","–","–","–","–",5.60,"–",31.4,"–",189,1270,932,131,19.6,449,385,41.9,"–","–","–",62400,"–",831,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"HSS","HSS16X4X.375","HSS16X4X3/8","F","HSS406.4X101.6X9.5","HSS406.4X101.6X9.5",71.2,8520,"–","–",406,"–","–","–",102,"–","–","–","–","–","–","–",9.53,8.86,"–","–","–","–","–","–","–","–","–",8.46,"–",42.8,"–",150,987,737,133,15.9,356,313,43.4,"–","–","–",49900,"–",651,"–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
