"L150x150x18+",40.1,150,18,16,8,51.0,4.37,10.61,6.17,5.37,0.586,14.63,"L150x150x18",40.1,1050,98.74,4.54,1666,5.71,433.8,2.92,-616.2,1,2,,,
"L160x160x14+",33.9,160,14,17,8.5,43.2,4.45,11.31,6.29,5.66,0.625,18.46,"L160x160x14",33.9,1034,89.50,4.89,1644,6.17,423.8,3.13,-610.0,3,4,,,
"L160x160x15-/+",36.2,160,15,17,8.5,46.1,4.49,11.31,6.35,5.67,0.625,17.30,"L160x160x15",36.2,1099,95.50,4.88,1747,6.16,450.8,3.13,-648.0,2,4,,,
"L160x160x16+",38.4,160,16,17,8.5,49.0,4.53,11.31,6.41,5.69,0.625,16.28,"L160x160x16",38.4,1163,101.4,4.87,1848,6.14,477.6,3.12,-685.1,1,4,,,
"L160x160x17+",40.7,160,17,17,8.5,51.8,4.57,11.31,6.46,5.70,0.625,15.37,"L160x160x17",40.7,1225,107.2,4.86,1947,6.13,504.1,3.12,-721.3,1,4,,,
"L180x180x13+",35.7,180,13,18,9,45.5,4.90,12.73,6.93,6.35,0.705,19.74,"L180x180x13",35.7,1396,106.5,5.54,2221,6.99,571.6,3.55,-824.5,4,4,,,
"L180x180x14+",38.3,180,14,18,9,48.8,4.94,12.73,6.99,6.36,0.705,18.40,"L180x180x14",38.3,1493,114.3,5.53,2375,6.98,611.3,3.54,-882.0,4,4,,,
"L180x180x15+",40.9,180,15,18,9,52.1,4.98,12.73,7.05,6.37,0.705,17.23,"L180x180x15",40.9,1589,122.0,5.52,2527,6.96,650.5,3.53,-938.0,4,4,,,
"L180x180x16-/+",43.5,180,16,18,9,55.4,5.02,12.73,7.10,6.38,0.705,16.20,"L180x180x16",43.5,1682,129.7,5.51,2675,6.95,689.4,3.53,-993.0,3,4,,,
"L180x180x17+",46.0,180,17,18,9,58.7,5.06,12.73,7.16,6.40,0.705,15.30,"L180x180x17",46.0,1775,137.2,5.50,2822,6.94,727.8,3.52,-1047.0,2,4,,,
"L180x180x18-/+",48.6,180,18,18,9,61.9,5.10,12.73,7.22,6.41,0.705,14.50,"L180x180x18",48.6,1866,144.7,5.49,2965,6.92,766.0,3.52,-1100.0,1,4,,,
"L180x180x19+",51.1,180,19,18,9,65.1,5.14,12.73,7.27,6.42,0.705,13.78,"L180x180x19",51.1,1955,152.1,5.48,3106,6.91,803.8,3.51,-1151,1,4,,,
"L180x180x20+",53.7,180,20,18,9,68.4,5.18,12.73,7.33,6.44,0.705,13.13,"L180x180x20",53.7,2043,159.4,5.47,3244,6.89,841.3,3.51,-1202,1,3,,,
"L200x200x15+",45.6,200,15,18,9,58.1,5.48,14.14,7.75,7.08,0.785,17.20,"L200x200x15",45.6,2209,152.2,6.17,3516,7.78,903.0,3.94,-1306,4,4,,,
"L200x200x16-/+",48.5,200,16,18,9,61.8,5.52,14.14,7.81,7.09,0.785,16.18,"L200x200x16",48.5,2341,161.7,6.16,3726,7.77,957.0,3.94,-1384,4,4,,,
"L200x200x17+",51.4,200,17,18,9,65.5,5.56,14.14,7.87,7.10,0.785,15.27,"L200x200x17",51.4,2472,171.2,6.14,3932,7.75,1011.0,3.93,-1461,4,4,,,
"L200x200x18-/+",54.3,200,18,18,9,69.1,5.60,14.14,7.93,7.12,0.785,14.46,"L200x200x18",54.3,2600,180.6,6.13,4135,7.74,1064.0,3.92,-1536,3,4,,,
"L200x200x19+",57.1,200,19,18,9,72.7,5.64,14.14,7.98,7.13,0.785,13.74,"L200x200x19",57.1,2726,189.9,6.12,4335,7.72,1117,3.92,-1609,2,4,,,
"L200x200x20-/+",59.9,200,20,18,9,76.3,5.68,14.14,8.04,7.15,0.785,13.09,"L200x200x20",59.9,2851,199.1,6.11,4532,7.70,1169,3.91,-1681,1,4,,,
"L200x200x21+",62.8,200,21,18,9,79.9,5.72,14.14,8.09,7.16,0.785,12.50,"L200x200x21",62.8,2973,208.2,6.10,4725,7.69,1221,3.91,-1752,1,4,,,
